name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Household_Income,Bedrooms
"Lynchburg city, Virginia",0.0,161.0,27.0,05000US51680,51,680,D,Standard,VHUD80,30% AMI or less,0 or 1
"Lynchburg city, Virginia",40.0,38.0,28.0,05000US51680,51,680,D,Standard,VHUD80,30% AMI or less,2
"Lynchburg city, Virginia",25.0,34.0,29.0,05000US51680,51,680,D,Standard,VHUD80,30% AMI or less,3 or more
"Lynchburg city, Virginia",360.0,140.0,30.0,05000US51680,51,680,S,Standard,VHUD80,30.1-50% AMI,All
"Lynchburg city, Virginia",0.0,161.0,31.0,05000US51680,51,680,D,Standard,VHUD80,30.1-50% AMI,0 or 1
"Lynchburg city, Virginia",110.0,74.0,32.0,05000US51680,51,680,D,Standard,VHUD80,30.1-50% AMI,2
"Lynchburg city, Virginia",250.0,125.0,33.0,05000US51680,51,680,D,Standard,VHUD80,30.1-50% AMI,3 or more
"Lynchburg city, Virginia",430.0,167.0,34.0,05000US51680,51,680,S,Standard,VHUD80,50.1-80% AMI,All
"Lynchburg city, Virginia",30.0,47.0,35.0,05000US51680,51,680,D,Standard,VHUD80,50.1-80% AMI,0 or 1
"Lynchburg city, Virginia",145.0,98.0,36.0,05000US51680,51,680,D,Standard,VHUD80,50.1-80% AMI,2
"Lynchburg city, Virginia",255.0,130.0,37.0,05000US51680,51,680,D,Standard,VHUD80,50.1-80% AMI,3 or more
"Lynchburg city, Virginia",105.0,84.0,38.0,05000US51680,51,680,S,Standard,VHUD80,80.1-95% AMI,All
"Lynchburg city, Virginia",0.0,161.0,39.0,05000US51680,51,680,D,Standard,VHUD80,80.1-95% AMI,0 or 1
"Lynchburg city, Virginia",50.0,56.0,40.0,05000US51680,51,680,D,Standard,VHUD80,80.1-95% AMI,2
"Lynchburg city, Virginia",60.0,63.0,41.0,05000US51680,51,680,D,Standard,VHUD80,80.1-95% AMI,3 or more
"Lynchburg city, Virginia",855.0,212.0,42.0,05000US51680,51,680,S,Standard,VHUD80,95.1% AMI and above,All
"Lynchburg city, Virginia",0.0,161.0,43.0,05000US51680,51,680,D,Standard,VHUD80,95.1% AMI and above,0 or 1
"Lynchburg city, Virginia",100.0,73.0,44.0,05000US51680,51,680,D,Standard,VHUD80,95.1% AMI and above,2
"Lynchburg city, Virginia",755.0,203.0,45.0,05000US51680,51,680,D,Standard,VHUD80,95.1% AMI and above,3 or more
"Lynchburg city, Virginia",715.0,248.0,46.0,05000US51680,51,680,S,Standard,VHUD100,All,All
"Lynchburg city, Virginia",85.0,83.0,47.0,05000US51680,51,680,S,Standard,VHUD100,30% AMI or less,All
"Lynchburg city, Virginia",0.0,161.0,48.0,05000US51680,51,680,D,Standard,VHUD100,30% AMI or less,0 or 1
"Lynchburg city, Virginia",55.0,71.0,49.0,05000US51680,51,680,D,Standard,VHUD100,30% AMI or less,2
"Lynchburg city, Virginia",25.0,41.0,50.0,05000US51680,51,680,D,Standard,VHUD100,30% AMI or less,3 or more
"Lynchburg city, Virginia",115.0,130.0,51.0,05000US51680,51,680,S,Standard,VHUD100,30.1-50% AMI,All
"Lynchburg city, Virginia",0.0,161.0,52.0,05000US51680,51,680,D,Standard,VHUD100,30.1-50% AMI,0 or 1
"Lynchburg city, Virginia",85.0,128.0,53.0,05000US51680,51,680,D,Standard,VHUD100,30.1-50% AMI,2
"Lynchburg city, Virginia",30.0,30.0,54.0,05000US51680,51,680,D,Standard,VHUD100,30.1-50% AMI,3 or more
"Lynchburg city, Virginia",160.0,147.0,55.0,05000US51680,51,680,S,Standard,VHUD100,50.1-80% AMI,All
"Lynchburg city, Virginia",0.0,161.0,56.0,05000US51680,51,680,D,Standard,VHUD100,50.1-80% AMI,0 or 1
"Lynchburg city, Virginia",0.0,161.0,57.0,05000US51680,51,680,D,Standard,VHUD100,50.1-80% AMI,2
"Lynchburg city, Virginia",160.0,147.0,58.0,05000US51680,51,680,D,Standard,VHUD100,50.1-80% AMI,3 or more
"Lynchburg city, Virginia",35.0,41.0,59.0,05000US51680,51,680,S,Standard,VHUD100,80.1-95% AMI,All
"Lynchburg city, Virginia",0.0,161.0,60.0,05000US51680,51,680,D,Standard,VHUD100,80.1-95% AMI,0 or 1
"Lynchburg city, Virginia",15.0,25.0,61.0,05000US51680,51,680,D,Standard,VHUD100,80.1-95% AMI,2
"Lynchburg city, Virginia",20.0,37.0,62.0,05000US51680,51,680,D,Standard,VHUD100,80.1-95% AMI,3 or more
"Lynchburg city, Virginia",315.0,123.0,63.0,05000US51680,51,680,S,Standard,VHUD100,95.1% AMI and above,All
"Lynchburg city, Virginia",0.0,161.0,64.0,05000US51680,51,680,D,Standard,VHUD100,95.1% AMI and above,0 or 1
"Lynchburg city, Virginia",70.0,60.0,65.0,05000US51680,51,680,D,Standard,VHUD100,95.1% AMI and above,2
"Lynchburg city, Virginia",245.0,107.0,66.0,05000US51680,51,680,D,Standard,VHUD100,95.1% AMI and above,3 or more
"Lynchburg city, Virginia",945.0,225.0,67.0,05000US51680,51,680,S,Standard,Greater than VHUD100,All,All
"Lynchburg city, Virginia",60.0,54.0,68.0,05000US51680,51,680,S,Standard,Greater than VHUD100,30% AMI or less,All
"Lynchburg city, Virginia",0.0,161.0,69.0,05000US51680,51,680,D,Standard,Greater than VHUD100,30% AMI or less,0 or 1
"Lynchburg city, Virginia",30.0,46.0,70.0,05000US51680,51,680,D,Standard,Greater than VHUD100,30% AMI or less,2
"Lynchburg city, Virginia",25.0,32.0,71.0,05000US51680,51,680,D,Standard,Greater than VHUD100,30% AMI or less,3 or more
"Lynchburg city, Virginia",80.0,70.0,72.0,05000US51680,51,680,S,Standard,Greater than VHUD100,30.1-50% AMI,All
"Lynchburg city, Virginia",30.0,48.0,73.0,05000US51680,51,680,D,Standard,Greater than VHUD100,30.1-50% AMI,0 or 1
"Lynchburg city, Virginia",15.0,28.0,74.0,05000US51680,51,680,D,Standard,Greater than VHUD100,30.1-50% AMI,2
"Lynchburg city, Virginia",35.0,43.0,75.0,05000US51680,51,680,D,Standard,Greater than VHUD100,30.1-50% AMI,3 or more
"Lynchburg city, Virginia",105.0,75.0,76.0,05000US51680,51,680,S,Standard,Greater than VHUD100,50.1-80% AMI,All
"Lynchburg city, Virginia",0.0,161.0,77.0,05000US51680,51,680,D,Standard,Greater than VHUD100,50.1-80% AMI,0 or 1
"Lynchburg city, Virginia",70.0,74.0,78.0,05000US51680,51,680,D,Standard,Greater than VHUD100,50.1-80% AMI,2
"Lynchburg city, Virginia",35.0,42.0,79.0,05000US51680,51,680,D,Standard,Greater than VHUD100,50.1-80% AMI,3 or more
"Lynchburg city, Virginia",0.0,161.0,80.0,05000US51680,51,680,S,Standard,Greater than VHUD100,80.1-95% AMI,All
"Lynchburg city, Virginia",0.0,161.0,81.0,05000US51680,51,680,D,Standard,Greater than VHUD100,80.1-95% AMI,0 or 1
"Lynchburg city, Virginia",0.0,161.0,82.0,05000US51680,51,680,D,Standard,Greater than VHUD100,80.1-95% AMI,2
"Lynchburg city, Virginia",0.0,161.0,83.0,05000US51680,51,680,D,Standard,Greater than VHUD100,80.1-95% AMI,3 or more
"Lynchburg city, Virginia",700.0,188.0,84.0,05000US51680,51,680,S,Standard,Greater than VHUD100,95.1% AMI and above,All
"Lynchburg city, Virginia",65.0,41.0,85.0,05000US51680,51,680,D,Standard,Greater than VHUD100,95.1% AMI and above,0 or 1
"Lynchburg city, Virginia",80.0,67.0,86.0,05000US51680,51,680,D,Standard,Greater than VHUD100,95.1% AMI and above,2
"Lynchburg city, Virginia",555.0,171.0,87.0,05000US51680,51,680,D,Standard,Greater than VHUD100,95.1% AMI and above,3 or more
