name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Housing_Problems,Household_Type,Household_Size
"Accomack County, Virginia",14920.0,633.0,1.0,05000US51001,51,001,T,All,All,All,All
"Accomack County, Virginia",11585.0,623.0,2.0,05000US51001,51,001,S,Owner,All,All,All
"Accomack County, Virginia",3130.0,454.0,3.0,05000US51001,51,001,S,Owner,Yes,All,All
"Accomack County, Virginia",645.0,267.0,4.0,05000US51001,51,001,S,Owner,Yes,"Family, 1 parent",All
"Accomack County, Virginia",580.0,259.0,5.0,05000US51001,51,001,D,Owner,Yes,"Family, 1 parent",4 or fewer
"Accomack County, Virginia",70.0,73.0,6.0,05000US51001,51,001,D,Owner,Yes,"Family, 1 parent",5 or more
"Accomack County, Virginia",875.0,232.0,7.0,05000US51001,51,001,S,Owner,Yes,"Family, 2 parents",All
"Accomack County, Virginia",715.0,204.0,8.0,05000US51001,51,001,D,Owner,Yes,"Family, 2 parents",4 or fewer
"Accomack County, Virginia",160.0,121.0,9.0,05000US51001,51,001,D,Owner,Yes,"Family, 2 parents",5 or more
"Accomack County, Virginia",1610.0,323.0,10.0,05000US51001,51,001,S,Owner,Yes,Non-family,All
"Accomack County, Virginia",1610.0,323.0,11.0,05000US51001,51,001,D,Owner,Yes,Non-family,4 or fewer
"Accomack County, Virginia",0.0,161.0,12.0,05000US51001,51,001,D,Owner,Yes,Non-family,5 or more
"Accomack County, Virginia",8450.0,742.0,13.0,05000US51001,51,001,S,Owner,No,All,All
"Accomack County, Virginia",1520.0,403.0,14.0,05000US51001,51,001,S,Owner,No,"Family, 1 parent",All
"Accomack County, Virginia",1170.0,319.0,15.0,05000US51001,51,001,D,Owner,No,"Family, 1 parent",4 or fewer
"Accomack County, Virginia",350.0,270.0,16.0,05000US51001,51,001,D,Owner,No,"Family, 1 parent",5 or more
"Accomack County, Virginia",4890.0,537.0,17.0,05000US51001,51,001,S,Owner,No,"Family, 2 parents",All
"Accomack County, Virginia",4705.0,532.0,18.0,05000US51001,51,001,D,Owner,No,"Family, 2 parents",4 or fewer
"Accomack County, Virginia",185.0,124.0,19.0,05000US51001,51,001,D,Owner,No,"Family, 2 parents",5 or more
"Accomack County, Virginia",2045.0,381.0,20.0,05000US51001,51,001,S,Owner,No,Non-family,All
"Accomack County, Virginia",2045.0,381.0,21.0,05000US51001,51,001,D,Owner,No,Non-family,4 or fewer
"Accomack County, Virginia",0.0,161.0,22.0,05000US51001,51,001,D,Owner,No,Non-family,5 or more
"Accomack County, Virginia",4.0,161.0,23.0,05000US51001,51,001,S,Owner,N/A,All,All
"Accomack County, Virginia",4.0,161.0,24.0,05000US51001,51,001,S,Owner,N/A,"Family, 1 parent",All
"Accomack County, Virginia",4.0,161.0,25.0,05000US51001,51,001,D,Owner,N/A,"Family, 1 parent",4 or fewer
"Accomack County, Virginia",0.0,161.0,26.0,05000US51001,51,001,D,Owner,N/A,"Family, 1 parent",5 or more
"Accomack County, Virginia",0.0,161.0,27.0,05000US51001,51,001,S,Owner,N/A,"Family, 2 parents",All
"Accomack County, Virginia",0.0,161.0,28.0,05000US51001,51,001,D,Owner,N/A,"Family, 2 parents",4 or fewer
"Accomack County, Virginia",0.0,161.0,29.0,05000US51001,51,001,D,Owner,N/A,"Family, 2 parents",5 or more
"Accomack County, Virginia",0.0,161.0,30.0,05000US51001,51,001,S,Owner,N/A,Non-family,All
"Accomack County, Virginia",0.0,161.0,31.0,05000US51001,51,001,D,Owner,N/A,Non-family,4 or fewer
"Accomack County, Virginia",0.0,161.0,32.0,05000US51001,51,001,D,Owner,N/A,Non-family,5 or more
"Accomack County, Virginia",3335.0,435.0,33.0,05000US51001,51,001,S,Renter,All,All,All
"Accomack County, Virginia",825.0,274.0,34.0,05000US51001,51,001,S,Renter,Yes,All,All
"Accomack County, Virginia",290.0,225.0,35.0,05000US51001,51,001,S,Renter,Yes,"Family, 1 parent",All
"Accomack County, Virginia",165.0,154.0,36.0,05000US51001,51,001,D,Renter,Yes,"Family, 1 parent",4 or fewer
"Accomack County, Virginia",125.0,162.0,37.0,05000US51001,51,001,D,Renter,Yes,"Family, 1 parent",5 or more
"Accomack County, Virginia",135.0,130.0,38.0,05000US51001,51,001,S,Renter,Yes,"Family, 2 parents",All
"Accomack County, Virginia",135.0,130.0,39.0,05000US51001,51,001,D,Renter,Yes,"Family, 2 parents",4 or fewer
"Accomack County, Virginia",0.0,161.0,40.0,05000US51001,51,001,D,Renter,Yes,"Family, 2 parents",5 or more
"Accomack County, Virginia",405.0,186.0,41.0,05000US51001,51,001,S,Renter,Yes,Non-family,All
"Accomack County, Virginia",405.0,186.0,42.0,05000US51001,51,001,D,Renter,Yes,Non-family,4 or fewer
"Accomack County, Virginia",0.0,161.0,43.0,05000US51001,51,001,D,Renter,Yes,Non-family,5 or more
"Accomack County, Virginia",2045.0,405.0,44.0,05000US51001,51,001,S,Renter,No,All,All
"Accomack County, Virginia",970.0,310.0,45.0,05000US51001,51,001,S,Renter,No,"Family, 1 parent",All
