name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Severe_Housing_Problems,Household_Income,Race
"Roanoke County, Virginia",36830.0,553.0,1.0,05000US51161,51,161,T,All,All,All,All
"Roanoke County, Virginia",29200.0,731.0,2.0,05000US51161,51,161,S,Owner,All,All,All
"Roanoke County, Virginia",1775.0,385.0,3.0,05000US51161,51,161,S,Owner,Yes,All,All
"Roanoke County, Virginia",575.0,200.0,4.0,05000US51161,51,161,S,Owner,Yes,30% AMI or less,All
"Roanoke County, Virginia",540.0,201.0,5.0,05000US51161,51,161,D,Owner,Yes,30% AMI or less,White
"Roanoke County, Virginia",30.0,37.0,6.0,05000US51161,51,161,D,Owner,Yes,30% AMI or less,Black
"Roanoke County, Virginia",0.0,161.0,7.0,05000US51161,51,161,D,Owner,Yes,30% AMI or less,Asian
"Roanoke County, Virginia",0.0,161.0,8.0,05000US51161,51,161,D,Owner,Yes,30% AMI or less,American Indian
"Roanoke County, Virginia",0.0,161.0,9.0,05000US51161,51,161,D,Owner,Yes,30% AMI or less,Pacific Islander
"Roanoke County, Virginia",0.0,161.0,10.0,05000US51161,51,161,D,Owner,Yes,30% AMI or less,Hispanic
"Roanoke County, Virginia",0.0,161.0,11.0,05000US51161,51,161,D,Owner,Yes,30% AMI or less,Other
"Roanoke County, Virginia",435.0,160.0,12.0,05000US51161,51,161,S,Owner,Yes,30.1-50% AMI,All
"Roanoke County, Virginia",435.0,160.0,13.0,05000US51161,51,161,D,Owner,Yes,30.1-50% AMI,White
"Roanoke County, Virginia",0.0,161.0,14.0,05000US51161,51,161,D,Owner,Yes,30.1-50% AMI,Black
"Roanoke County, Virginia",0.0,161.0,15.0,05000US51161,51,161,D,Owner,Yes,30.1-50% AMI,Asian
"Roanoke County, Virginia",0.0,161.0,16.0,05000US51161,51,161,D,Owner,Yes,30.1-50% AMI,American Indian
"Roanoke County, Virginia",0.0,161.0,17.0,05000US51161,51,161,D,Owner,Yes,30.1-50% AMI,Pacific Islander
"Roanoke County, Virginia",0.0,161.0,18.0,05000US51161,51,161,D,Owner,Yes,30.1-50% AMI,Hispanic
"Roanoke County, Virginia",0.0,161.0,19.0,05000US51161,51,161,D,Owner,Yes,30.1-50% AMI,Other
"Roanoke County, Virginia",600.0,297.0,20.0,05000US51161,51,161,S,Owner,Yes,50.1-80% AMI,All
"Roanoke County, Virginia",570.0,289.0,21.0,05000US51161,51,161,D,Owner,Yes,50.1-80% AMI,White
"Roanoke County, Virginia",0.0,161.0,22.0,05000US51161,51,161,D,Owner,Yes,50.1-80% AMI,Black
"Roanoke County, Virginia",15.0,24.0,23.0,05000US51161,51,161,D,Owner,Yes,50.1-80% AMI,Asian
"Roanoke County, Virginia",0.0,161.0,24.0,05000US51161,51,161,D,Owner,Yes,50.1-80% AMI,American Indian
"Roanoke County, Virginia",0.0,161.0,25.0,05000US51161,51,161,D,Owner,Yes,50.1-80% AMI,Pacific Islander
"Roanoke County, Virginia",0.0,161.0,26.0,05000US51161,51,161,D,Owner,Yes,50.1-80% AMI,Hispanic
"Roanoke County, Virginia",15.0,30.0,27.0,05000US51161,51,161,D,Owner,Yes,50.1-80% AMI,Other
"Roanoke County, Virginia",85.0,74.0,28.0,05000US51161,51,161,S,Owner,Yes,80.1-95% AMI,All
"Roanoke County, Virginia",85.0,74.0,29.0,05000US51161,51,161,D,Owner,Yes,80.1-95% AMI,White
"Roanoke County, Virginia",0.0,161.0,30.0,05000US51161,51,161,D,Owner,Yes,80.1-95% AMI,Black
"Roanoke County, Virginia",0.0,161.0,31.0,05000US51161,51,161,D,Owner,Yes,80.1-95% AMI,Asian
"Roanoke County, Virginia",0.0,161.0,32.0,05000US51161,51,161,D,Owner,Yes,80.1-95% AMI,American Indian
"Roanoke County, Virginia",0.0,161.0,33.0,05000US51161,51,161,D,Owner,Yes,80.1-95% AMI,Pacific Islander
"Roanoke County, Virginia",0.0,161.0,34.0,05000US51161,51,161,D,Owner,Yes,80.1-95% AMI,Hispanic
"Roanoke County, Virginia",0.0,161.0,35.0,05000US51161,51,161,D,Owner,Yes,80.1-95% AMI,Other
"Roanoke County, Virginia",80.0,69.0,36.0,05000US51161,51,161,S,Owner,Yes,95.1% AMI and above,All
"Roanoke County, Virginia",80.0,69.0,37.0,05000US51161,51,161,D,Owner,Yes,95.1% AMI and above,White
"Roanoke County, Virginia",0.0,161.0,38.0,05000US51161,51,161,D,Owner,Yes,95.1% AMI and above,Black
"Roanoke County, Virginia",0.0,161.0,39.0,05000US51161,51,161,D,Owner,Yes,95.1% AMI and above,Asian
"Roanoke County, Virginia",0.0,161.0,40.0,05000US51161,51,161,D,Owner,Yes,95.1% AMI and above,American Indian
"Roanoke County, Virginia",0.0,161.0,41.0,05000US51161,51,161,D,Owner,Yes,95.1% AMI and above,Pacific Islander
"Roanoke County, Virginia",0.0,161.0,42.0,05000US51161,51,161,D,Owner,Yes,95.1% AMI and above,Hispanic
"Roanoke County, Virginia",0.0,161.0,43.0,05000US51161,51,161,D,Owner,Yes,95.1% AMI and above,Other
"Roanoke County, Virginia",27355.0,789.0,44.0,05000US51161,51,161,S,Owner,No,All,All
"Roanoke County, Virginia",690.0,224.0,45.0,05000US51161,51,161,S,Owner,No,30% AMI or less,All
"Roanoke County, Virginia",630.0,216.0,46.0,05000US51161,51,161,D,Owner,No,30% AMI or less,White
"Roanoke County, Virginia",15.0,24.0,47.0,05000US51161,51,161,D,Owner,No,30% AMI or less,Black
"Roanoke County, Virginia",25.0,47.0,48.0,05000US51161,51,161,D,Owner,No,30% AMI or less,Asian
"Roanoke County, Virginia",0.0,161.0,49.0,05000US51161,51,161,D,Owner,No,30% AMI or less,American Indian
"Roanoke County, Virginia",0.0,161.0,50.0,05000US51161,51,161,D,Owner,No,30% AMI or less,Pacific Islander
"Roanoke County, Virginia",0.0,161.0,51.0,05000US51161,51,161,D,Owner,No,30% AMI or less,Hispanic
"Roanoke County, Virginia",25.0,40.0,52.0,05000US51161,51,161,D,Owner,No,30% AMI or less,Other
"Roanoke County, Virginia",1555.0,309.0,53.0,05000US51161,51,161,S,Owner,No,30.1-50% AMI,All
"Roanoke County, Virginia",1455.0,319.0,54.0,05000US51161,51,161,D,Owner,No,30.1-50% AMI,White
"Roanoke County, Virginia",10.0,55.0,55.0,05000US51161,51,161,D,Owner,No,30.1-50% AMI,Black
"Roanoke County, Virginia",55.0,67.0,56.0,05000US51161,51,161,D,Owner,No,30.1-50% AMI,Asian
"Roanoke County, Virginia",0.0,161.0,57.0,05000US51161,51,161,D,Owner,No,30.1-50% AMI,American Indian
"Roanoke County, Virginia",0.0,161.0,58.0,05000US51161,51,161,D,Owner,No,30.1-50% AMI,Pacific Islander
"Roanoke County, Virginia",0.0,161.0,59.0,05000US51161,51,161,D,Owner,No,30.1-50% AMI,Hispanic
"Roanoke County, Virginia",30.0,51.0,60.0,05000US51161,51,161,D,Owner,No,30.1-50% AMI,Other
"Roanoke County, Virginia",3300.0,485.0,61.0,05000US51161,51,161,S,Owner,No,50.1-80% AMI,All
"Roanoke County, Virginia",3225.0,483.0,62.0,05000US51161,51,161,D,Owner,No,50.1-80% AMI,White
"Roanoke County, Virginia",4.0,37.0,63.0,05000US51161,51,161,D,Owner,No,50.1-80% AMI,Black
"Roanoke County, Virginia",45.0,47.0,64.0,05000US51161,51,161,D,Owner,No,50.1-80% AMI,Asian
"Roanoke County, Virginia",0.0,161.0,65.0,05000US51161,51,161,D,Owner,No,50.1-80% AMI,American Indian
"Roanoke County, Virginia",0.0,161.0,66.0,05000US51161,51,161,D,Owner,No,50.1-80% AMI,Pacific Islander
"Roanoke County, Virginia",25.0,43.0,67.0,05000US51161,51,161,D,Owner,No,50.1-80% AMI,Hispanic
"Roanoke County, Virginia",0.0,161.0,68.0,05000US51161,51,161,D,Owner,No,50.1-80% AMI,Other
"Roanoke County, Virginia",2225.0,422.0,69.0,05000US51161,51,161,S,Owner,No,80.1-95% AMI,All
"Roanoke County, Virginia",2120.0,436.0,70.0,05000US51161,51,161,D,Owner,No,80.1-95% AMI,White
"Roanoke County, Virginia",25.0,44.0,71.0,05000US51161,51,161,D,Owner,No,80.1-95% AMI,Black
"Roanoke County, Virginia",60.0,49.0,72.0,05000US51161,51,161,D,Owner,No,80.1-95% AMI,Asian
"Roanoke County, Virginia",0.0,161.0,73.0,05000US51161,51,161,D,Owner,No,80.1-95% AMI,American Indian
"Roanoke County, Virginia",0.0,161.0,74.0,05000US51161,51,161,D,Owner,No,80.1-95% AMI,Pacific Islander
"Roanoke County, Virginia",20.0,38.0,75.0,05000US51161,51,161,D,Owner,No,80.1-95% AMI,Hispanic
"Roanoke County, Virginia",0.0,161.0,76.0,05000US51161,51,161,D,Owner,No,80.1-95% AMI,Other
"Roanoke County, Virginia",19585.0,816.0,77.0,05000US51161,51,161,S,Owner,No,95.1% AMI and above,All
"Roanoke County, Virginia",18465.0,753.0,78.0,05000US51161,51,161,D,Owner,No,95.1% AMI and above,White
"Roanoke County, Virginia",585.0,200.0,79.0,05000US51161,51,161,D,Owner,No,95.1% AMI and above,Black
