name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Tenure,Severe_Housing_Problems,Household_Income,Race
"Rockingham County, Virginia",28505.0,439.0,1.0,05000US51165,51,165,T,All,All,All,All
"Rockingham County, Virginia",21055.0,615.0,2.0,05000US51165,51,165,S,Owner,All,All,All
"Rockingham County, Virginia",1630.0,317.0,3.0,05000US51165,51,165,S,Owner,Yes,All,All
"Rockingham County, Virginia",530.0,173.0,4.0,05000US51165,51,165,S,Owner,Yes,30% AMI or less,All
"Rockingham County, Virginia",505.0,173.0,5.0,05000US51165,51,165,D,Owner,Yes,30% AMI or less,White
"Rockingham County, Virginia",0.0,161.0,6.0,05000US51165,51,165,D,Owner,Yes,30% AMI or less,Black
"Rockingham County, Virginia",0.0,161.0,7.0,05000US51165,51,165,D,Owner,Yes,30% AMI or less,Asian
"Rockingham County, Virginia",0.0,161.0,8.0,05000US51165,51,165,D,Owner,Yes,30% AMI or less,American Indian
"Rockingham County, Virginia",0.0,161.0,9.0,05000US51165,51,165,D,Owner,Yes,30% AMI or less,Pacific Islander
"Rockingham County, Virginia",0.0,161.0,10.0,05000US51165,51,165,D,Owner,Yes,30% AMI or less,Hispanic
"Rockingham County, Virginia",25.0,42.0,11.0,05000US51165,51,165,D,Owner,Yes,30% AMI or less,Other
"Rockingham County, Virginia",395.0,152.0,12.0,05000US51165,51,165,S,Owner,Yes,30.1-50% AMI,All
"Rockingham County, Virginia",395.0,152.0,13.0,05000US51165,51,165,D,Owner,Yes,30.1-50% AMI,White
"Rockingham County, Virginia",0.0,161.0,14.0,05000US51165,51,165,D,Owner,Yes,30.1-50% AMI,Black
"Rockingham County, Virginia",0.0,161.0,15.0,05000US51165,51,165,D,Owner,Yes,30.1-50% AMI,Asian
"Rockingham County, Virginia",0.0,161.0,16.0,05000US51165,51,165,D,Owner,Yes,30.1-50% AMI,American Indian
"Rockingham County, Virginia",0.0,161.0,17.0,05000US51165,51,165,D,Owner,Yes,30.1-50% AMI,Pacific Islander
"Rockingham County, Virginia",0.0,161.0,18.0,05000US51165,51,165,D,Owner,Yes,30.1-50% AMI,Hispanic
"Rockingham County, Virginia",0.0,161.0,19.0,05000US51165,51,165,D,Owner,Yes,30.1-50% AMI,Other
"Rockingham County, Virginia",235.0,102.0,20.0,05000US51165,51,165,S,Owner,Yes,50.1-80% AMI,All
