name,estimate,margin_of_error,order,geoid,st,cnty,Line_Type,Substandard_Housing,Affordability,Bedrooms
"Botetourt County, Virginia",410.0,219.0,1.0,05000US51023,51,023,T,All,All,All
"Botetourt County, Virginia",10.0,19.0,2.0,05000US51023,51,023,S,Substandard,All,All
"Botetourt County, Virginia",395.0,221.0,3.0,05000US51023,51,023,S,Standard,All,All
"Botetourt County, Virginia",230.0,154.0,4.0,05000US51023,51,023,S,Standard,RHUD30,All
"Botetourt County, Virginia",0.0,161.0,5.0,05000US51023,51,023,D,Standard,RHUD30,0 or 1
"Botetourt County, Virginia",110.0,117.0,6.0,05000US51023,51,023,D,Standard,RHUD30,2
"Botetourt County, Virginia",120.0,99.0,7.0,05000US51023,51,023,D,Standard,RHUD30,3 or more
"Botetourt County, Virginia",165.0,155.0,8.0,05000US51023,51,023,S,Standard,RHUD50,All
"Botetourt County, Virginia",20.0,35.0,9.0,05000US51023,51,023,D,Standard,RHUD50,0 or 1
"Botetourt County, Virginia",135.0,156.0,10.0,05000US51023,51,023,D,Standard,RHUD50,2
"Botetourt County, Virginia",10.0,20.0,11.0,05000US51023,51,023,D,Standard,RHUD50,3 or more
"Botetourt County, Virginia",0.0,161.0,12.0,05000US51023,51,023,S,Standard,RHUD80,All
"Botetourt County, Virginia",0.0,161.0,13.0,05000US51023,51,023,D,Standard,RHUD80,0 or 1
"Botetourt County, Virginia",0.0,161.0,14.0,05000US51023,51,023,D,Standard,RHUD80,2
"Botetourt County, Virginia",0.0,161.0,15.0,05000US51023,51,023,D,Standard,RHUD80,3 or more
"Botetourt County, Virginia",0.0,161.0,16.0,05000US51023,51,023,S,Standard,Greater than RHUD80,All
"Botetourt County, Virginia",0.0,161.0,17.0,05000US51023,51,023,D,Standard,Greater than RHUD80,0 or 1
"Botetourt County, Virginia",0.0,161.0,18.0,05000US51023,51,023,D,Standard,Greater than RHUD80,2
"Botetourt County, Virginia",0.0,161.0,19.0,05000US51023,51,023,D,Standard,Greater than RHUD80,3 or more
